text,char_count,over_twitter_length,p_num,text_chunked,chunk_tot,chunk_num,text_to_tweet,text_to_tweet_char_count,tweeted_timestamp
ERNEST HEMINGWAY,16,False,0,ERNEST HEMINGWAY,1,1,"ERNEST HEMINGWAY 

#hemingway",29,
"CHARLES SCRIBNER'S SONS, NEW YORK

1952",39,False,1,"CHARLES SCRIBNER'S SONS, NEW YORK

1952",1,1,"CHARLES SCRIBNER'S SONS, NEW YORK

1952 

#hemingway",52,
"COPYRIGHT, 1952, BY

ERNEST HEMINGWAY

Printed in the United States of America

All rights reserved.  No part of this book
may be reproduced in any form 
without the permission of Charles Scribner's Sons",203,False,2,"COPYRIGHT, 1952, BY

ERNEST HEMINGWAY

Printed in the United States of America

All rights reserved.  No part of this book
may be reproduced in any form 
without the permission of Charles Scribner's Sons",1,1,"COPYRIGHT, 1952, BY

ERNEST HEMINGWAY

Printed in the United States of America

All rights reserved.  No part of this book
may be reproduced in any form 
without the permission of Charles Scribner's Sons 

#hemingway",216,
"TO CHARLIE SCRIBNER

AND

TO MAX PERKINS",40,False,3,"TO CHARLIE SCRIBNER

AND

TO MAX PERKINS",1,1,"TO CHARLIE SCRIBNER

AND

TO MAX PERKINS 

#hemingway",53,
,0,False,4,,1,1," 

#hemingway",13,
THE OLD MAN AND THE SEA,23,False,5,THE OLD MAN AND THE SEA,1,1,"THE OLD MAN AND THE SEA 

#hemingway",36,
"He was an old man who fished alone in a skiff in the Gulf Stream and he
had gone eighty-four days now without taking a fish.  In the first
forty days a boy had been with him.  But after forty days without a
fish the boy's parents had told him that the old man was now definitely
and finally salao, which is the worst form of unlucky, and the boy
had gone at their orders in another boat which caught three good fish
the first week.  It made the boy sad to see the old man come in each
day with his skiff empty and he always went down to help him carry
either the coiled lines or the gaff and harpoon and the sail that was
furled around the mast.  The sail was patched with flour sacks and,
furled, it looked like the flag of permanent defeat.",742,True,6,He was an old man who fished alone in a skiff in the Gulf Stream and he had gone eighty-four days now without taking a fish. In the first forty days a boy had been with him. But after forty days without a fish the boy's,4,1,He was an old man who fished alone in a skiff in the Gulf Stream and he had gone eighty-four days now without taking a fish. In the first forty days a boy had been with him. But after forty days without a fish the boy's 1/4 #hemingway,234,
"He was an old man who fished alone in a skiff in the Gulf Stream and he
had gone eighty-four days now without taking a fish.  In the first
forty days a boy had been with him.  But after forty days without a
fish the boy's parents had told him that the old man was now definitely
and finally salao, which is the worst form of unlucky, and the boy
had gone at their orders in another boat which caught three good fish
the first week.  It made the boy sad to see the old man come in each
day with his skiff empty and he always went down to help him carry
either the coiled lines or the gaff and harpoon and the sail that was
furled around the mast.  The sail was patched with flour sacks and,
furled, it looked like the flag of permanent defeat.",742,True,6,"parents had told him that the old man was now definitely and finally salao, which is the worst form of unlucky, and the boy had gone at their orders in another boat which caught three good fish the first week. It made",4,2,"parents had told him that the old man was now definitely and finally salao, which is the worst form of unlucky, and the boy had gone at their orders in another boat which caught three good fish the first week. It made 2/4 #hemingway",232,
"He was an old man who fished alone in a skiff in the Gulf Stream and he
had gone eighty-four days now without taking a fish.  In the first
forty days a boy had been with him.  But after forty days without a
fish the boy's parents had told him that the old man was now definitely
and finally salao, which is the worst form of unlucky, and the boy
had gone at their orders in another boat which caught three good fish
the first week.  It made the boy sad to see the old man come in each
day with his skiff empty and he always went down to help him carry
either the coiled lines or the gaff and harpoon and the sail that was
furled around the mast.  The sail was patched with flour sacks and,
furled, it looked like the flag of permanent defeat.",742,True,6,the boy sad to see the old man come in each day with his skiff empty and he always went down to help him carry either the coiled lines or the gaff and harpoon and the sail that was furled around the mast. The sail was,4,3,the boy sad to see the old man come in each day with his skiff empty and he always went down to help him carry either the coiled lines or the gaff and harpoon and the sail that was furled around the mast. The sail was 3/4 #hemingway,232,
"He was an old man who fished alone in a skiff in the Gulf Stream and he
had gone eighty-four days now without taking a fish.  In the first
forty days a boy had been with him.  But after forty days without a
fish the boy's parents had told him that the old man was now definitely
and finally salao, which is the worst form of unlucky, and the boy
had gone at their orders in another boat which caught three good fish
the first week.  It made the boy sad to see the old man come in each
day with his skiff empty and he always went down to help him carry
either the coiled lines or the gaff and harpoon and the sail that was
furled around the mast.  The sail was patched with flour sacks and,
furled, it looked like the flag of permanent defeat.",742,True,6,"patched with flour sacks and, furled, it looked like the flag of permanent defeat.",4,4,"patched with flour sacks and, furled, it looked like the flag of permanent defeat. 4/4 #hemingway",97,
